GL|122|1|06/10/2006|12861995.13|12861995.13|P|06/10/2006|zizah|C|
AR|123|1741|06/10/2006|2794777796.8|2794777796.8|P|06/10/2006|zizah|C|
AP|124|604|06/10/2006|2007154129.0|2007154129.0|P|06/10/2006|zizah|C|
CB|125|63|06/10/2006|176025022.7|176025022.7|P|06/10/2006|zizah|C|
GL|126|3|07/10/2006|10842834.0|10842834.0|P|07/10/2006|zizah|C|
AP|127|2|10/10/2006|11292100.0|11292100.0|P|10/10/2006|zizah|C|
GL|128|2|10/10/2006|23865823.13|23865823.13|P|10/10/2006|zizah|C|
AR|129|1624|10/10/2006|2982968398.6|2982968398.6|P|10/10/2006|zizah|C|
AP|130|648|10/10/2006|2177229828.0|2177229828.0|P|10/10/2006|zizah|C|
CB|131|60|10/10/2006|151793501.98|151793501.98|P|10/10/2006|zizah|C|
AR|132|2|10/10/2006|9914250.0|9914250.0|P|10/10/2006|zizah|C|
AP|133|2|10/10/2006|575500.0|575500.0|P|10/10/2006|zizah|C|
GL|134|5|13/10/2006|31207314.55|31207314.55|P|14/10/2006|zizah|C|
AR|135|1543|14/10/2006|2896403330.2|2896403330.2|P|14/10/2006|zizah|C|
AP|136|557|14/10/2006|2228073772.0|2228073772.0|P|14/10/2006|zizah|C|
CB|137|56|14/10/2006|259070251.0|259070251.0|P|14/10/2006|zizah|C|
AP|138|14|14/10/2006|20118400.0|20118400.0|P|14/10/2006|zizah|C|
CB|139|1|14/10/2006|1000000.0|1000000.0|P|14/10/2006|zizah|C|
GL|140|1|16/10/2006|504575.0|504575.0|P|19/10/2006|zizah|C|
GL|141|1|20/10/2006|600000.0|600000.0|P|20/10/2006|zizah|C|
GL|142|13|20/10/2006|150302539.46|150302539.46|P|21/10/2006|zizah|C|
AP|143|1|21/10/2006|500.0|500.0|P|21/10/2006|zizah|C|
CB|144|1|21/10/2006|7615167.0|7615167.0|P|21/10/2006|zizah|C|
AR|145|1578|21/10/2006|3280823478.0|3280823478.0|P|21/10/2006|zizah|C|
AP|146|496|21/10/2006|2192103290.0|2192103290.0|P|21/10/2006|zizah|C|
CB|147|55|21/10/2006|221040037.0|221040037.0|P|21/10/2006|zizah|C|
AP|148|80|21/10/2006|228506000.0|228506000.0|P|21/10/2006|zizah|C|
AR|149|1|21/10/2006|20000.0|20000.0|P|21/10/2006|zizah|C|
CB|150|1|21/10/2006|53000.0|53000.0|P|21/10/2006|zizah|C|
GL|151|4|02/11/2006|22065187.42|22065187.42|P|02/11/2006|zizah|C|
GL|152|10|20/11/2006|26745490.33|26745490.33|P|28/11/2006|zizah|C|
AP|153|1|21/11/2006|13500000.0|13500000.0|P|21/11/2006|zizah|C|
GL|154|2|28/11/2006|16689973.0|16689973.0|P|28/11/2006|zizah|C|
AP|155|1|28/11/2006|157000.0|157000.0|P|28/11/2006|zizah|C|
GL|156|4|29/11/2006|4559302.0|4559302.0|P|29/11/2006|zizah|C|
GL|157|25|29/11/2006|174374850.94|174374850.94|P|29/11/2006|zizah|C|
AR|158|1793|29/11/2006|3227601890.6|3227601890.6|P|29/11/2006|zizah|C|
AP|159|764|29/11/2006|2238768901.0|2238768901.0|P|29/11/2006|zizah|C|
CB|160|50|29/11/2006|474144914.36|474144914.36|P|29/11/2006|zizah|C|
AP|161|9|29/11/2006|18841750.0|18841750.0|P|29/11/2006|zizah|C|
AP|162|1|30/11/2006|10222500.0|10222500.0|P|30/11/2006|zizah|C|
GL|163|5|30/11/2006|206125258.13|206125258.13|P|01/12/2006|zizah|C|
AP|164|2|01/12/2006|17006000.0|17006000.0|P|01/12/2006|zizah|C|
CB|165|1|01/12/2006|30000.0|30000.0|P|01/12/2006|zizah|C|
GL|166|1|01/12/2006|390000.0|390000.0|P|01/12/2006|zizah|C|
GL|167|7|20/12/2006|207560684.0|207560684.0|P|22/12/2006|zizah|C|
GL|168|3|22/12/2006|43372431.0|43372431.0|P|23/12/2006|zizah|C|
GL|169|31|26/12/2006|306662665.07|306662665.07|P|27/12/2006|zizah|C|
AR|170|1664|27/12/2006|2225918304.0|2225918304.0|P|27/12/2006|zizah|C|
AP|171|572|27/12/2006|1834629783.0|1834629783.0|P|27/12/2006|zizah|C|
