1|00-14919|1633500.0|0.0|PEMBATALAN ATAL 900 GONI||
99|00-33603|0.0|297622.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN DESEMBER 2007|
100|00-14907|10947.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN FEBRUARI 2008|
100|00-33603|0.0|10947.0|BY.JASA ANLISA,TAX PPH-23|INV.LAB BLN FEBRUARI 2008|
101|00-14907|254927.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN APRIL 2008|
101|00-33603|0.0|254927.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN APRIL 2008|
102|00-14905|93206.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN MEI 2008|
102|00-33603|0.0|93206.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB MEI 2008|
103|00-14908|1406.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN APRIL 2008|
103|00-33603|0.0|1406.0|BY JASA ANALISA,TAX PPH-23|INV.LAB BLN APRIL 2008|
104|00-14908|1743.0|0.0|BY.JASA ANALISA,TAX PPH-23|INV.LAB BLN MEI 2008|
104|00-33603|0.0|1743.0|||
105|00-14908|25002.0|0.0|BIAYA ADMINISTRASI||
105|01-81320|0.0|25002.0|||
106|00-14903|130232.0|0.0|BIAYA JASA ANALISA(TAX PPH-23)|INV.LAB BULAN DESEMBER 2007|
106|00-33603|0.0|130232.0|||
107|00-14903|110828.0|0.0|BIAYA JASA ANALISA(TAX PPH-23)|INV.LAB BULAN APRIL 2008|
107|00-33603|0.0|110828.0|||
108|00-14903|52533.0|0.0|BIAYA JASA ANALISA(TAX PPH-23)|INV.LAB BULAN MEI 2008|
108|00-33603|0.0|52533.0|||
109|00-14927|3457.0|0.0|BIAYA JASA ANALISA(TAX PPH-23)|INV LAB BULAN MEI 2008|
109|00-33603|0.0|3457.0|||
110|00-14930|12758.0|0.0|BIAYA JASA ANALISA(TAX PPH-23)|INV.LAB BULAN JULI 2008|
110|00-33603|0.0|12758.0|||
111|00-14902|66065.0|0.0|BY JASA ANALIS (TAX PPH-23)|INV.LAB BLN JULI 2008|
111|00-33603|0.0|66065.0|||
112|00-14911|100.5|0.0|ADJUSMENT PIUTANG||
112|01-80900|0.0|100.5|||
113|00-14902|71954.0|0.0|BIAYA JASA ANALISA|INV.LAB BLN APRIL 2008|
113|00-21123|0.0|71954.0|||
114|00-14927|284845.0|0.0|BIAYA JASA ANALISA|INV.LAB BLN APRIL 2008|
114|00-21123|0.0|284845.0|||
115|00-14908|1518.0|0.0|BIAYA JASA ANALISA|INVOICE LAB BLN SEPTEMBER 2008|
115|00-21123|0.0|1518.0|||
116|01-50101|20773.0|0.0|ADJ.OBAT VITAMAS|TIDAK MENGGUNAKAN PPN|
116|00-33604|0.0|20773.0|||
117|00-14915|90.0|0.0|KURANG CATAT UANG MASUK|YOGYA AREA|
117|00-11999|0.0|90.0|KURANG CATAT UANG MASUK|YOGYA AREA|
118|00-14922|13293.0|0.0|JASA ANALISA( PPH PSL-23 )|INVOICE LAB BLN MEI 2008|
118|00-21123|0.0|13293.0|BIAYA JASA ANALISA|LAB BLN MEI 2008,PT TELUR|
119|00-14930|13145.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
119|00-21123|0.0|13145.0|BY JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
120|00-14903|47383.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BULAN JULI 2008|
120|00-21123|0.0|47383.0|BY JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN JULI 2008|
121|00-14903|30336.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN SEPT 2008|
121|00-21123|0.0|30336.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN SEPT 2008|
122|00-14903|28635.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN OKT 2008|
122|00-21123|0.0|28635.0|BY JASA ANALISA|INVOICE LAB BLN OKT 2008|
123|00-14903|10716.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN FEB 2009|
123|00-21123|0.0|10716.0|BY JASA ANALISA|INVOICE BLN FEBRUARI 2009|
124|00-14903|18858.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MARET 2009|
124|00-21123|0.0|18858.0|BY JASA ANALISA|INVOICE LAB BLN MARET 2009|
125|00-14903|13232.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
125|00-21123|0.0|13232.0|BY JASA ANALISA|INVOICE LAB BLN APRIL 2009|
126|00-14903|20338.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MEI 2009|
126|00-21123|0.0|20338.0|BY JASA ANALISA|INVOICE LAB BLN MEI 2009|
127|00-14903|12405.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN JUN 2009|
127|00-21123|0.0|12405.0|BY JASA ANALISA|INVOICE LAB BLN JUNI 2009|
128|00-14903|16837.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BULAN JULI 2009|
128|00-21123|0.0|16837.0|BY JASA ANALISA|INVOICE LAB BLN JULI 2009|
129|00-14903|12022.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN AGUSTUS 2009|
129|00-21123|0.0|12022.0|BY JASA ANALISA|INVOICE LAB BLN AGUSTUS 2009|
130|00-14902|30256.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN SEPT 2008|
130|00-21123|0.0|30256.0|BY JASA ANALISA|INVOICE LAB BLN SEPT 2008|
131|00-14902|14479.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN OKT 2008|
131|00-21123|0.0|14479.0|BY JASA ANALISA|INVOICE LAB BLN OKT 2008|
132|00-14902|10223.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MARET 2009|
132|00-21123|0.0|10223.0|BY JASA ANALISA|INVOICE LAB BLN MARET 2009|
133|00-14902|38416.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
133|00-21123|0.0|38416.0|BY JASA ANALISA|INVOICE LAB BLN APRIL 2009|
134|00-14907|122197.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN DESEMBER 2008|
134|00-21123|0.0|122197.0|BY JASA ANALISA|INVOICE LAB BLN DES 2008|
135|00-14907|86404.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN FEBRUARI 2009|
135|00-21123|0.0|86404.0|BY JASA ANALISA|INVOICE LAB BLN FEBR 2009|
136|00-14907|80350.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MARET 2009|
136|00-21123|0.0|80350.0|BY JASA ANALISA|INVOICE LAB BLN MARET 2009|
137|00-14907|42125.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
137|00-21123|0.0|42125.0|BY JASA ANALISA|INVOICE LAB BLN APRIL 2009|
138|00-14907|68276.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MEI 2009|
138|00-21123|0.0|68276.0|BY JASA ANALISA|INVOICE LAB BLN MEI 2009|
139|00-14907|60901.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN JUNI 2009|
139|00-21123|0.0|60901.0|BY JASA ANALISA|INVOICE LAB BLN JUNI 2009|
140|00-14907|67768.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN JULI 2009|
140|00-21123|0.0|67768.0|BY JASA ANALISA|INVOICE LAB BLN JULI 2009|
141|00-14907|32295.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN AUG 2009|
141|00-21123|0.0|32295.0|BY JASA ANALISA|INVOICE LAB BLN AUG 2009|
142|00-14905|44702.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN DESEMBER 2008|
142|00-21123|0.0|44702.0|BY JASA ANALISA|INVOICE LAB BLN DESEMBER 2008|
143|00-14905|16368.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN FEBRUARI 2009|
143|00-21123|0.0|16368.0|BY JASA ANALISA|INVOICE LAB BLN FEBRUARI 2009|
144|00-14905|33182.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MARET 2009|
144|00-21123|0.0|33182.0|BY JASA ANALISA|INVOICE LAB BLN MARET 2009|
145|00-14905|32943.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN APRIL 2009|
145|00-21123|0.0|32943.0|BY JASA ANALISA|INVOICE LAB BLN APRIL 2009|
146|00-14905|32432.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MEI 2009|
146|00-21123|0.0|32432.0|BY JASA ANALISA|INVOICE LAB BLN MEI 2009|
147|00-14905|23042.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN JUNI 2009|
147|00-21123|0.0|23042.0|BY JASA ANALISA|INVOICE LAB BLN JUNI 2009|
148|00-14905|32534.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BULAN JULI 2009|
148|00-21123|0.0|32534.0|BY JASA ANALISA|INVOICE LAB BLN JULI|
149|00-14905|26036.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN AUG 2009|
149|00-21123|0.0|26036.0|BY JASA ANALISA|INVOICE LAB BLN AUG 2009|
150|00-14902|46703.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN DES 2008|
150|00-21123|0.0|46703.0|BY JASA ANALISA|INVOICE LAB BLN DES 2008|
151|00-14928|27330.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN MAR S/D AUG'09|
151|00-21123|0.0|27330.0|BY JASA ANALISA|INV LAB BLN MAR'09 S/D AUG'09|
152|00-14903|55332.0|0.0|JASA ANALISA ( PPH PSL-23 )|INVOICE LAB BLN DESEMBER 2008|
152|00-21123|0.0|55332.0|BY JASA ANALISA|INVOICE LAB BLN DESEMBER 2008|
153|00-14927|11025.0|0.0|JASA ANALISA ( PPH PSL-23 )|INV LAB BLN SEP'08 S/D OKT'08|
153|00-21123|0.0|11025.0|BY JASA ANALISA|INV LAB BLN SEP'08 & OKT'08|
154|00-14908|1653.0|0.0|BIAYA JASA ANALISA (TAX-23)|YANG BELUM TERCATAT|
154|00-21123|0.0|1653.0|BLM TERCATAT||
155|00-14927|110198900.0|0.0|SALAH CATAT KODE CUSTOMER||
155|00-11999|0.0|110198900.0|||
156|00-14927|99499685.0|0.0|SALAH CATAT KODE CUSTOMER||
156|00-11999|0.0|99499685.0|||
157|00-14101|1507840.0|0.0|SELISIH KURS|INVOICE BLN MEI 2010|
157|01-80402|0.0|1507840.0|||
158|00-14931|577376.65|0.0|SELISIH KURS|INV.SCA0034,36,37,38,38 & 40M|
158|01-80401|0.0|577376.65|||
159|00-14931|808834.5|0.0|SELISIH KURS|INV.SCA0031M & SCA0032M|
159|01-80401|0.0|808834.5|||
160|00-14101|119200.0|0.0|SELISIH KURS|INV.SCA57796|
160|01-80401|0.0|119200.0|||
161|00-14908|5000.0|0.0|BY ADMINISTRASI|BULAN JAN,MAR,APR & MEI 2010|
161|01-81320|0.0|5000.0|BY ADMINISTRASI||
162|00-14908|5000.0|0.0|BIAYA ADMINISTRASI|BULAN MARET 2010|
162|01-81320|0.0|5000.0|||
163|00-14908|5000.0|0.0|BIAYA ADMINISTRASI|BULAN APRIL 2010|
163|01-81320|0.0|5000.0|||
164|00-14908|5000.0|0.0|BIAYA ADMINISTRASI|BULAN MEI 2010|
164|01-81320|0.0|5000.0|||
165|00-14950|142200.0|0.0|ADJ.INV.JKA04400||
165|01-50101|0.0|52727.0|||
165|01-50101|0.0|76546.0|||
165|00-33604|0.0|12927.0|||
166|00-14950|122500.0|0.0|ADJ.INV.JKA04401||
166|01-50101|0.0|111364.0|||
166|00-33604|0.0|11136.0|||
167|00-14908|2248922.0|0.0|ADJ.SELISIH KURS|INV.JKA01300|
167|01-80401|0.0|2248922.0|ADJ.SELISIH KURS,MALINDO CAKUN||
168|00-14908|5000.0|0.0|ADJ.BY ADM|INV.JKA03124|
168|01-81320|0.0|5000.0|BY.ADM.|INV.JKA03124|
169|00-14908|5000.0|0.0|ADJ.BY ADM|INV.JKA03741|
169|01-81320|0.0|5000.0|ADJ.BY ADM|INV.JKA03741|
170|00-14907|144997.0|0.0|ADJ.SELISIH KURS|INVJKA01369|
170|01-80401|0.0|144997.0|ADJ.SELISIH KURS|INV.JKA01369|
171|00-14101|10000.0|0.0|ADJ.BY ADM|INV.JKA03954 & JKA04467|
171|01-81320|0.0|10000.0|BY ADM|INV.JKA03954 & JKA04467|
172|00-14101|10000.0|0.0|ADJ.BY ADM|INV.JKA03956 & JKA04471|
172|01-81320|0.0|10000.0|ADJ.BY ADM|INV.JKA03956 & JKA04471|
173|00-14101|5000.0|0.0|ADJ.BY ADM|INV.SCA0051M|
173|01-81320|0.0|5000.0|BY ADM|INV.SCA0051M|
174|00-14101|5000.0|0.0|ADJ.BY ADM|INV.SCA0030M|
174|01-81320|0.0|5000.0|BY ADM|INV.SCA0030M|
175|00-14905|359562.0|0.0|ADJ.SELISIH KURS|INV.JKA01111|
175|01-80401|0.0|359562.0|ADJ.SELISH KURS|INV.JKA01111|
176|00-14905|43653.0|0.0|ADJ.SELISIH KURS|INV.JKA01915|
176|01-80401|0.0|43653.0|ADJ.SELISIH KURS|INV.JKA01915|
177|00-14101|734832.0|0.0|ADJ.SELISIH KURS|INV.JKA03129|
177|01-80401|0.0|734832.0|ADJ.SELISIH KURS|INV.JKA03129|
178|00-14931|223425.0|0.0|ADJ.BY ADM|INV.SCA0046M|
178|01-81320|0.0|223425.0|BY ADM|$25 * RP 8.937|
179|00-14931|415639.0|0.0|ADJ.SELISIH KURS|INV.SCA0046M|
179|01-80401|0.0|415639.0|ADJ.SELISIH KURS|INV.SCA0046M|
180|00-14101|178540.0|0.0|BY ADM|INV.JKA02584,0355,03992,04382|
180|01-81320|0.0|178540.0|BY ADM|$20 * RP 8.927|
181|00-14101|1075425.0|0.0|ADJ.SELISIH KURS|INV.JKA02584,03055,03992,04382|
181|01-80401|0.0|1075425.0|ADJ.SELISIH KURS|JKA02584,03055,03992,04382|
182|00-14101|178260.0|0.0|ADJ.BY ADM|INV.JKA04188|
182|01-81320|0.0|178260.0|BY ADM|INV.JKA04188|
183|00-14101|93775.0|0.0|ADJ.SELISIH KURS|INV.JKA04188|
183|01-80401|0.0|93775.0|ADJ.SELISIH KURS|INV.JKA04188|
184|00-14907|64284.0|0.0|BY JASA ANALISA|INV.LAB BLN NOV.2009|
184|00-21123|0.0|64284.0|BY JASA ANALISA|INV.LAB.BLN NOV 2009|
185|00-14907|79204.0|0.0|BY JASA ANALISA|INV.LAB BLN DESEMBER 2009|
185|00-21123|0.0|79204.0|BY JASA ANALISA|INV.LAB BLN DES.2009|
186|00-14907|35267.0|0.0|BY JASA ANALISA|INV.LAB BLN JANUARY 2010|
186|00-21123|0.0|35267.0|BY JASA ANALISA|INV.LAB BLN JANUARY 2010|
187|00-14907|66277.0|0.0|BY JASA ANALISA|INV.LAB BLN MARET 2010|
187|00-21123|0.0|66277.0|BY JASA ANALISA|INV LAB BLN MARET 2010|
188|00-14907|47778.0|0.0|BY JASA ANALISA|INV.LAB BLN APRIL 2010|
