FAM0267|TMP25753|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0268|TMP25754|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0268|TMP25754|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0269|TMP25755|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0269|TMP25755|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0270|TMP25756|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0270|TMP25756|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0271|TMP25757|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0271|TMP25757|24/08/2007|01|MROREV01|195000.0|0.0|
FAM0272|TMP25758|24/08/2007|01|MROIB001|77900.0|0.0|
FAM0357|TMP25759|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0357|TMP25759|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0358|TMP25760|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0358|TMP25760|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0359|TMP25761|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0359|TMP25761|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0360|TMP25762|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0360|TMP25762|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0360|TMP25762|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0361|TMP25763|31/08/2007|01|MMEH1201|26100.0|0.0|
FAM0361|TMP25763|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0361|TMP25763|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0362|TMP25764|31/08/2007|01|MMESP250|6800.0|0.0|
FAM0362|TMP25764|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0363|TMP25765|31/08/2007|01|MMESP250|6800.0|0.0|
FAM0363|TMP25765|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0364|TMP25766|31/08/2007|01|MMESP250|6800.0|0.0|
FAM0364|TMP25766|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0365|TMP25767|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0366|TMP25768|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0367|TMP25769|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0368|TMP25770|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0369|TMP25771|31/08/2007|01|MMEVT100|24650.0|0.0|
FAM0370|TMP25772|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0371|TMP25773|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0372|TMP25774|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0373|TMP25775|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0374|TMP25776|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0375|TMP25777|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0376|TMP25778|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0377|TMP25779|31/08/2007|01|MMSNS250|28500.0|0.0|
FAM0378|TMP25780|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0378|TMP25780|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0378|TMP25780|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0379|TMP25781|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0379|TMP25781|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0379|TMP25781|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0380|TMP25782|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0380|TMP25782|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0380|TMP25782|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0381|TMP25783|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0381|TMP25783|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0381|TMP25783|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0382|TMP25784|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0382|TMP25784|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0382|TMP25784|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0382|TMP25784|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0383|TMP25785|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0383|TMP25785|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0384|TMP25786|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0384|TMP25786|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0385|TMP25787|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0386|TMP25788|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0386|TMP25788|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0387|TMP25789|31/08/2007|01|MROAMP20|167827.0|0.0|
FAM0387|TMP25789|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0388|TMP25790|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0388|TMP25790|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0388|TMP25790|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0389|TMP25791|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0389|TMP25791|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0389|TMP25791|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0390|TMP25792|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0390|TMP25792|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0390|TMP25792|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0391|TMP25793|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0391|TMP25793|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0391|TMP25793|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0392|TMP25794|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0392|TMP25794|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0392|TMP25794|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0393|TMP25795|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0393|TMP25795|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0393|TMP25795|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0394|TMP25796|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0394|TMP25796|31/08/2007|01|MROCK001|101156.0|0.0|
FAM0394|TMP25796|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0394|TMP25796|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0395|TMP25797|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0395|TMP25797|31/08/2007|01|MROCK001|101156.0|0.0|
FAM0395|TMP25797|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0395|TMP25797|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0396|TMP25798|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0396|TMP25798|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0396|TMP25798|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0397|TMP25799|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0397|TMP25799|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0398|TMP25800|31/08/2007|01|MROAV001|28500.0|0.0|
FAM0398|TMP25800|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0398|TMP25800|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0399|TMP25801|31/08/2007|01|MROCK003|180500.0|0.0|
FAM0399|TMP25801|31/08/2007|01|MRODL001|4750.0|0.0|
FAM0400|TMP25802|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0400|TMP25802|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0401|TMP25803|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0401|TMP25803|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0402|TMP25804|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0402|TMP25804|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0403|TMP25805|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0403|TMP25805|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0404|TMP25806|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0404|TMP25806|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0405|TMP25807|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0405|TMP25807|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0406|TMP25808|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0406|TMP25808|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0407|TMP25809|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0407|TMP25809|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0408|TMP25810|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0408|TMP25810|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0408|TMP25810|31/08/2007|01|MROREV01|195000.0|0.0|
FAM0409|TMP25811|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0410|TMP25812|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0410|TMP25812|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0411|TMP25813|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0411|TMP25813|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0412|TMP25814|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0412|TMP25814|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0413|TMP25815|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0413|TMP25815|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0414|TMP25816|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0414|TMP25816|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0415|TMP25817|31/08/2007|01|MROGF001|66500.0|0.0|
FAM0415|TMP25817|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0416|TMP25818|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0417|TMP25819|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0418|TMP25820|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0419|TMP25821|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0420|TMP25822|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0421|TMP25823|31/08/2007|01|MROIB001|77900.0|0.0|
FAM0511|TMP25824|07/09/2007|01|MMEH1201|26100.0|0.0|
FAM0511|TMP25824|07/09/2007|01|MMESM001|28120.0|0.0|
FAM0511|TMP25824|07/09/2007|01|MMEVT100|24650.0|0.0|
FAM0511|TMP25824|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0512|TMP25825|07/09/2007|01|MMEH1201|26100.0|0.0|
FAM0512|TMP25825|07/09/2007|01|MMESM001|28120.0|0.0|
FAM0512|TMP25825|07/09/2007|01|MMEVT100|24650.0|0.0|
FAM0512|TMP25825|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0513|TMP25826|07/09/2007|01|MMEH1201|26100.0|0.0|
FAM0513|TMP25826|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0514|TMP25827|07/09/2007|01|MMEH1201|26100.0|0.0|
FAM0514|TMP25827|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0515|TMP25828|07/09/2007|01|MMEH1201|26100.0|0.0|
FAM0515|TMP25828|07/09/2007|01|MMEVT100|24650.0|0.0|
FAM0515|TMP25828|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0516|TMP25829|07/09/2007|01|MMESP250|6800.0|0.0|
FAM0516|TMP25829|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0517|TMP25830|07/09/2007|01|MMESP250|6800.0|0.0|
FAM0517|TMP25830|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0518|TMP25831|07/09/2007|01|MMESP250|6800.0|0.0|
FAM0518|TMP25831|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0519|TMP25832|07/09/2007|01|MMESP250|6800.0|0.0|
FAM0519|TMP25832|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0520|TMP25833|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0521|TMP25834|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0522|TMP25835|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0523|TMP25836|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0524|TMP25837|07/09/2007|01|MMSNS250|28500.0|0.0|
FAM0532|TMP25838|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0532|TMP25838|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0533|TMP25839|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0533|TMP25839|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0534|TMP25840|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0534|TMP25840|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0535|TMP25841|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0535|TMP25841|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0536|TMP25842|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0536|TMP25842|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0537|TMP25843|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0537|TMP25843|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0537|TMP25843|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0537|TMP25843|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0538|TMP25844|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0538|TMP25844|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0538|TMP25844|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0539|TMP25845|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0539|TMP25845|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0540|TMP25846|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0540|TMP25846|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0541|TMP25847|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0541|TMP25847|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0542|TMP25848|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0542|TMP25848|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0542|TMP25848|07/09/2007|01|MROCK001|111300.0|0.0|
FAM0542|TMP25848|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0543|TMP25849|07/09/2007|01|MROAV001|31350.0|0.0|
FAM0543|TMP25849|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0543|TMP25849|07/09/2007|01|MRODL001|4750.0|0.0|
FAM0544|TMP25850|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0544|TMP25850|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0545|TMP25851|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0545|TMP25851|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0546|TMP25852|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0546|TMP25852|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0547|TMP25853|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0547|TMP25853|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0548|TMP25854|07/09/2007|01|MROAMP20|184600.0|0.0|
FAM0548|TMP25854|07/09/2007|01|MROCK003|198550.0|0.0|
FAM0549|TMP25855|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0549|TMP25855|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0550|TMP25856|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0550|TMP25856|07/09/2007|01|MROREV01|214500.0|0.0|
FAM0551|TMP25857|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0551|TMP25857|07/09/2007|01|MROREV01|214500.0|0.0|
FAM0552|TMP25858|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0552|TMP25858|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0553|TMP25859|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0553|TMP25859|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0554|TMP25860|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0554|TMP25860|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0555|TMP25861|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0555|TMP25861|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0556|TMP25862|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0556|TMP25862|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0557|TMP25863|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0557|TMP25863|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0558|TMP25864|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0559|TMP25865|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0560|TMP25866|07/09/2007|01|MROGF300|312000.0|0.0|
FAM0560|TMP25866|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0561|TMP25867|07/09/2007|01|MROGF300|312000.0|0.0|
FAM0561|TMP25867|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0562|TMP25868|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0562|TMP25868|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0563|TMP25869|07/09/2007|01|MROGF001|73150.0|0.0|
FAM0563|TMP25869|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0564|TMP25870|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0565|TMP25871|07/09/2007|01|MROIB001|77900.0|0.0|
FAM0635|TMP25872|14/09/2007|01|MROAMP20|184600.0|0.0|
FAM0635|TMP25872|14/09/2007|01|MROCK003|198550.0|0.0|
FAM0636|TMP25873|14/09/2007|01|MROAMP20|184600.0|0.0|
FAM0636|TMP25873|14/09/2007|01|MROCK003|198550.0|0.0|
FAM0637|TMP25874|14/09/2007|01|MROAMP20|184600.0|0.0|
FAM0637|TMP25874|14/09/2007|01|MROCK003|198550.0|0.0|
FAM0638|TMP25875|14/09/2007|01|MROAMP20|184600.0|0.0|
FAM0638|TMP25875|14/09/2007|01|MROAV001|31350.0|0.0|
FAM0638|TMP25875|14/09/2007|01|MROCK001|111300.0|0.0|
FAM0638|TMP25875|14/09/2007|01|MRODL001|4750.0|0.0|
FAM0639|TMP25876|14/09/2007|01|MROAMP20|184600.0|0.0|
FAM0639|TMP25876|14/09/2007|01|MROAV001|31350.0|0.0|
FAM0639|TMP25876|14/09/2007|01|MROCK003|198550.0|0.0|
FAM0639|TMP25876|14/09/2007|01|MRODL001|4750.0|0.0|
